epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,6065.03,0.93809,0.88287,1.39235,0.82155,0.66057,0.72011,0.32849,2.04404,1.47546,2.7404,0.0001684,0.0001684,0.0001684
170,6101.07,0.95536,0.87805,1.39257,0.75841,0.64187,0.704,0.32904,2.03821,1.52801,2.7088,0.00016345,0.00016345,0.00016345
171,6137.42,0.96027,0.91441,1.40348,0.79408,0.62104,0.71702,0.32847,2.07711,1.49209,2.81223,0.0001585,0.0001585,0.0001585
172,6173.06,0.9547,0.91335,1.42199,0.80459,0.62031,0.7071,0.32353,2.12264,1.48503,2.82962,0.00015355,0.00015355,0.00015355
173,6210.46,0.93266,0.86484,1.38327,0.81906,0.57632,0.67817,0.31821,2.10959,1.50723,2.79468,0.0001486,0.0001486,0.0001486
174,6246.2,0.93281,0.85894,1.38524,0.82478,0.59608,0.68871,0.31356,2.10801,1.53022,2.83344,0.00014365,0.00014365,0.00014365
175,6283.15,0.94674,0.91938,1.40641,0.80953,0.59357,0.69302,0.31357,2.09921,1.48214,2.8556,0.0001387,0.0001387,0.0001387
176,6319.28,0.94078,0.88863,1.39984,0.79628,0.61564,0.68796,0.32171,2.09216,1.41391,2.86473,0.00013375,0.00013375,0.00013375
177,6356.43,0.92274,0.86557,1.37466,0.84114,0.62135,0.72508,0.33171,2.06456,1.43018,2.80209,0.0001288,0.0001288,0.0001288
178,6392.37,0.94116,0.86708,1.39806,0.80291,0.63784,0.71144,0.32142,2.03888,1.45834,2.7527,0.00012385,0.00012385,0.00012385
179,6428.74,0.92004,0.84495,1.37402,0.75931,0.62421,0.68853,0.32004,2.07344,1.57266,2.80524,0.0001189,0.0001189,0.0001189
180,6465.04,0.93955,0.88751,1.37707,0.84967,0.60007,0.71615,0.3264,2.05268,1.53534,2.82241,0.00011395,0.00011395,0.00011395
181,6502.09,0.68519,0.47007,1.24432,0.80706,0.59838,0.68935,0.2986,2.02578,1.45053,2.76685,0.000109,0.000109,0.000109
